DISP,100s,10s,1s,COMPLETE SEQUENCE
173,A B,C _ E _ _ H _,J _ L M _ O P,ABCEHJLMOP
172,A B,C _ E _ _ H _,J _ L M N _ P,ABCEHJLMNP
171,A B,C _ E _ _ H _,_ _ L _ _ O _,ABCEHLO
170,A B,C _ E _ _ H _,J K L _ N O P,ABCEHJKLNOP
169,A B,_ D _ F G H I,J K L M _ O P,ABDFGHIJKLMOP
168,A B,_ D _ F G H I,J K L M N O P,ABDFGHIJKLMNOP
167,A B,_ D _ F G H I,J _ L _ _ O _,ABDFGHIJLO
166,A B,_ D _ F G H I,_ K _ M N O P,ABDFGHIKMNOP
165,A B,_ D _ F G H I,J K _ M _ O P,ABDFGHIJKMOP
164,A B,_ D _ F G H I,_ K L M _ O _,ABDFGHIKLMO
163,A B,_ D _ F G H I,J _ L M _ O P,ABDFGHIJLMOP
162,A B,_ D _ F G H I,J _ L M N _ P,ABDFGHIJLMNP
161,A B,_ D _ F G H I,_ _ L _ _ O _,ABDFGHILO
160,A B,_ D _ F G H I,J K L _ N O P,ABDFGHIJKLNOP
159,A B,C D _ F _ H I,J K L M _ O P,ABCDFHIJKLMOP
158,A B,C D _ F _ H I,J K L M N O P,ABCDFHIJKLMNOP
157,A B,C D _ F _ H I,J _ L _ _ O _,ABCDFHIJLO
156,A B,C D _ F _ H I,_ K _ M N O P,ABCDFHIKMNOP
155,A B,C D _ F _ H I,J K _ M _ O P,ABCDFHIJKMOP
154,A B,C D _ F _ H I,_ K L M _ O _,ABCDFHIKLMO
153,A B,C D _ F _ H I,J _ L M _ O P,ABCDFHIJLMOP
152,A B,C D _ F _ H I,J _ L M N _ P,ABCDFHIJLMNP
151,A B,C D _ F _ H I,_ _ L _ _ O _,ABCDFHILO
150,A B,C D _ F _ H I,J K L _ N O P,ABCDFHIJKLNOP
149,A B,_ D E F _ H _,J K L M _ O P,ABDEFHJKLMOP
148,A B,_ D E F _ H _,J K L M N O P,ABDEFHJKLMNOP
147,A B,_ D E F _ H _,J _ L _ _ O _,ABDEFHJLO
146,A B,_ D E F _ H _,_ K _ M N O P,ABDEFHKMNOP
145,A B,_ D E F _ H _,J K _ M _ O P,ABDEFHJKMOP
144,A B,_ D E F _ H _,_ K L M _ O _,ABDEFHKLMO
143,A B,_ D E F _ H _,J _ L M _ O P,ABDEFHJLMOP
142,A B,_ D E F _ H _,J _ L M N _ P,ABDEFHJLMNP
141,A B,_ D E F _ H _,_ _ L _ _ O _,ABDEFHLO
140,A B,_ D E F _ H _,J K L _ N O P,ABDEFHJKLNOP
139,A B,C _ E F _ H I,J K L M _ O P,ABCEFHIJKLMOP
138,A B,C _ E F _ H I,J K L M N O P,ABCEFHIJKLMNOP
137,A B,C _ E F _ H I,J _ L _ _ O _,ABCEFHIJLO
136,A B,C _ E F _ H I,_ K _ M N O P,ABCEFHIKMNOP
135,A B,C _ E F _ H I,J K _ M _ O P,ABCEFHIJKMOP
134,A B,C _ E F _ H I,_ K L M _ O _,ABCEFHIKLMO
133,A B,C _ E F _ H I,J _ L M _ O P,ABCEFHIJLMOP
132,A B,C _ E F _ H I,J _ L M N _ P,ABCEFHIJLMNP
131,A B,C _ E F _ H I,_ _ L _ _ O _,ABCEFHILO
130,A B,C _ E F _ H I,J K L _ N O P,ABCEFHIJKLNOP
129,A B,C _ E F G _ I,J K L M _ O P,ABCEFGIJKLMOP
128,A B,C _ E F G _ I,J K L M N O P,ABCEFGIJKLMNOP
127,A B,C _ E F G _ I,J _ L _ _ O _,ABCEFGIJLO
126,A B,C _ E F G _ I,_ K _ M N O P,ABCEFGIKMNOP
125,A B,C _ E F G _ I,J K _ M _ O P,ABCEFGIJKMOP
124,A B,C _ E F G _ I,_ K L M _ O _,ABCEFGIKLMO
123,A B,C _ E F G _ I,J _ L M _ O P,ABCEFGIJLMOP
122,A B,C _ E F G _ I,J _ L M N _ P,ABCEFGIJLMNP
121,A B,C _ E F G _ I,_ _ L _ _ O _,ABCEFGILO
120,A B,C _ E F G _ I,J K L _ N O P,ABCEFGIJKLNOP
119,A B,_ _ E _ _ H _,J K L M _ O P,ABEHJKLMOP
118,A B,_ _ E _ _ H _,J K L M N O P,ABEHJKLMNOP
117,A B,_ _ E _ _ H _,J _ L _ _ O _,ABEHJLO
116,A B,_ _ E _ _ H _,_ K _ M N O P,ABEHKMNOP
115,A B,_ _ E _ _ H _,J K _ M _ O P,ABEHJKMOP
114,A B,_ _ E _ _ H _,_ K L M _ O _,ABEHKLMO
113,A B,_ _ E _ _ H _,J _ L M _ O P,ABEHJLMOP
112,A B,_ _ E _ _ H _,J _ L M N _ P,ABEHJLMNP
111,A B,_ _ E _ _ H _,_ _ L _ _ O _,ABEHLO
110,A B,_ _ E _ _ H _,J K L _ N O P,ABEHJKLNOP
109,A B,C D E _ G H I,J K L M _ O P,ABCDEGHIJKLMOP
108,A B,C D E _ G H I,J K L M N O P,ABCDEGHIJKLMNOP
107,A B,C D E _ G H I,J _ L _ _ O _,ABCDEGHIJLO
106,A B,C D E _ G H I,_ K _ M N O P,ABCDEGHIKMNOP
105,A B,C D E _ G H I,J K _ M _ O P,ABCDEGHIJKMOP
104,A B,C D E _ G H I,_ K L M _ O _,ABCDEGHIKLMO
103,A B,C D E _ G H I,J _ L M _ O P,ABCDEGHIJLMOP
102,A B,C D E _ G H I,J _ L M N _ P,ABCDEGHIJLMNP
101,A B,C D E _ G H I,_ _ L _ _ O _,ABCDEGHILO
100,A B,C D E _ G H I,J K L _ N O P,ABCDEGHIJKLNOP
99,_ _,C D E F _ H I,J K L M _ O P,CDEFHIJKLMOP
98,_ _,C D E F _ H I,J K L M N O P,CDEFHIJKLMNOP
97,_ _,C D E F _ H I,J _ L _ _ O _,CDEFHIJLO
96,_ _,C D E F _ H I,_ K _ M N O P,CDEFHIKMNOP
95,_ _,C D E F _ H I,J K _ M _ O P,CDEFHIJKMOP
94,_ _,C D E F _ H I,_ K L M _ O _,CDEFHIKLMO
93,_ _,C D E F _ H I,J _ L M _ O P,CDEFHIJLMOP
92,_ _,C D E F _ H I,J _ L M N _ P,CDEFHIJLMNP
91,_ _,C D E F _ H I,_ _ L _ _ O _,CDEFHILO
90,_ _,C D E F _ H I,J K L _ N O P,CDEFHIJKLNOP
89,_ _,C D E F G H I,J K L M _ O P,CDEFGHIJKLMOP
88,_ _,C D E F G H I,J K L M N O P,CDEFGHIJKLMNOP
87,_ _,C D E F G H I,J _ L _ _ O _,CDEFGHIJLO
86,_ _,C D E F G H I,_ K _ M N O P,CDEFGHIKMNOP
85,_ _,C D E F G H I,J K _ M _ O P,CDEFGHIJKMOP
84,_ _,C D E F G H I,_ K L M _ O _,CDEFGHIKLMO
83,_ _,C D E F G H I,J _ L M _ O P,CDEFGHIJLMOP
82,_ _,C D E F G H I,J _ L M N _ P,CDEFGHIJLMNP
81,_ _,C D E F G H I,_ _ L _ _ O _,CDEFGHILO
80,_ _,C D E F G H I,J K L _ N O P,CDEFGHIJKLNOP
79,_ _,C _ E _ _ H _,J K L M _ O P,CEHJKLMOP
78,_ _,C _ E _ _ H _,J K L M N O P,CEHJKLMNOP
77,_ _,C _ E _ _ H _,J _ L _ _ O _,CEHJLO
76,_ _,C _ E _ _ H _,_ K _ M N O P,CEHKMNOP
75,_ _,C _ E _ _ H _,J K _ M _ O P,CEHJKMOP
74,_ _,C _ E _ _ H _,_ K L M _ O _,CEHKLMO
73,_ _,C _ E _ _ H _,J _ L M _ O P,CEHJLMOP
72,_ _,C _ E _ _ H _,J _ L M N _ P,CEHJLMNP
71,_ _,C _ E _ _ H _,_ _ L _ _ O _,CEHLO
70,_ _,C _ E _ _ H _,J K L _ N O P,CEHJKLNOP
69,_ _,_ D _ F G H I,J K L M _ O P,DFGHIJKLMOP
68,_ _,_ D _ F G H I,J K L M N O P,DFGHIJKLMNOP
67,_ _,_ D _ F G H I,J _ L _ _ O _,DFGHIJLO
66,_ _,_ D _ F G H I,_ K _ M N O P,DFGHIKMNOP
65,_ _,_ D _ F G H I,J K _ M _ O P,DFGHIJKMOP
64,_ _,_ D _ F G H I,_ K L M _ O _,DFGHIKLMO
63,_ _,_ D _ F G H I,J _ L M _ O P,DFGHIJLMOP
62,_ _,_ D _ F G H I,J _ L M N _ P,DFGHIJLMNP
61,_ _,_ D _ F G H I,_ _ L _ _ O _,DFGHILO
60,_ _,_ D _ F G H I,J K L _ N O P,DFGHIJKLNOP
59,_ _,C D _ F _ H I,J K L M _ O P,CDFHIJKLMOP
58,_ _,C D _ F _ H I,J K L M N O P,CDFHIJKLMNOP
57,_ _,C D _ F _ H I,J _ L _ _ O _,CDFHIJLO
56,_ _,C D _ F _ H I,_ K _ M N O P,CDFHIKMNOP
55,_ _,C D _ F _ H I,J K _ M _ O P,CDFHIJKMOP
54,_ _,C D _ F _ H I,_ K L M _ O _,CDFHIKLMO
53,_ _,C D _ F _ H I,J _ L M _ O P,CDFHIJLMOP
52,_ _,C D _ F _ H I,J _ L M N _ P,CDFHIJLMNP
51,_ _,C D _ F _ H I,_ _ L _ _ O _,CDFHILO
50,_ _,C D _ F _ H I,J K L _ N O P,CDFHIJKLNOP
49,_ _,_ D E F _ H _,J K L M _ O P,DEFHJKLMOP
48,_ _,_ D E F _ H _,J K L M N O P,DEFHJKLMNOP
47,_ _,_ D E F _ H _,J _ L _ _ O _,DEFHJLO
46,_ _,_ D E F _ H _,_ K _ M N O P,DEFHKMNOP
45,_ _,_ D E F _ H _,J K _ M _ O P,DEFHJKMOP
44,_ _,_ D E F _ H _,_ K L M _ O _,DEFHKLMO
43,_ _,_ D E F _ H _,J _ L M _ O P,DEFHJLMOP
42,_ _,_ D E F _ H _,J _ L M N _ P,DEFHJLMNP
41,_ _,_ D E F _ H _,_ _ L _ _ O _,DEFHLO
40,_ _,_ D E F _ H _,J K L _ N O P,DEFHJKLNOP
39,_ _,C _ E F _ H I,J K L M _ O P,CEFHIJKLMOP
38,_ _,C _ E F _ H I,J K L M N O P,CEFHIJKLMNOP
37,_ _,C _ E F _ H I,J _ L _ _ O _,CEFHIJLO
36,_ _,C _ E F _ H I,_ K _ M N O P,CEFHIKMNOP
35,_ _,C _ E F _ H I,J K _ M _ O P,CEFHIJKMOP
34,_ _,C _ E F _ H I,_ K L M _ O _,CEFHIKLMO
33,_ _,C _ E F _ H I,J _ L M _ O P,CEFHIJLMOP
32,_ _,C _ E F _ H I,J _ L M N _ P,CEFHIJLMNP
31,_ _,C _ E F _ H I,_ _ L _ _ O _,CEFHILO
30,_ _,C _ E F _ H I,J K L _ N O P,CEFHIJKLNOP
29,_ _,C _ E F G _ I,J K L M _ O P,CEFGIJKLMOP
28,_ _,C _ E F G _ I,J K L M N O P,CEFGIJKLMNOP
27,_ _,C _ E F G _ I,J _ L _ _ O _,CEFGIJLO
26,_ _,C _ E F G _ I,_ K _ M N O P,CEFGIKMNOP
25,_ _,C _ E F G _ I,J K _ M _ O P,CEFGIJKMOP
24,_ _,C _ E F G _ I,_ K L M _ O _,CEFGIKLMO
23,_ _,C _ E F G _ I,J _ L M _ O P,CEFGIJLMOP
22,_ _,C _ E F G _ I,J _ L M N _ P,CEFGIJLMNP
21,_ _,C _ E F G _ I,_ _ L _ _ O _,CEFGILO
20,_ _,C _ E F G _ I,J K L _ N O P,CEFGIJKLNOP
19,_ _,_ _ E _ _ H _,J K L M _ O P,EHJKLMOP
18,_ _,_ _ E _ _ H _,J K L M N O P,EHJKLMNOP
17,_ _,_ _ E _ _ H _,J _ L _ _ O _,EHJLO
16,_ _,_ _ E _ _ H _,_ K _ M N O P,EHKMNOP
15,_ _,_ _ E _ _ H _,J K _ M _ O P,EHJKMOP
14,_ _,_ _ E _ _ H _,_ K L M _ O _,EHKLMO
13,_ _,_ _ E _ _ H _,J _ L M _ O P,EHJLMOP
12,_ _,_ _ E _ _ H _,J _ L M N _ P,EHJLMNP
11,_ _,_ _ E _ _ H _,_ _ L _ _ O _,EHLO
10,_ _,_ _ E _ _ H _,J K L _ N O P,EHJKLNOP
09,_ _,C D E _ G H I,J K L M _ O P,CDEGHIJKLMOP
08,_ _,C D E _ G H I,J K L M N O P,CDEGHIJKLMNOP
07,_ _,C D E _ G H I,J _ L _ _ O _,CDEGHIJLO
06,_ _,C D E _ G H I,_ K _ M N O P,CDEGHIKMNOP
05,_ _,C D E _ G H I,J K _ M _ O P,CDEGHIJKMOP
04,_ _,C D E _ G H I,_ K L M _ O _,CDEGHIKLMO
03,_ _,C D E _ G H I,J _ L M _ O P,CDEGHIJLMOP
02,_ _,C D E _ G H I,J _ L M N _ P,CDEGHIJLMNP
01,_ _,C D E _ G H I,_ _ L _ _ O _,CDEGHILO
00,_ _,C D E _ G H I,J K L _ N O P,CDEGHIJKLNOP
9,_ _,_ _ _ _ _ _ _,J K L M _ O P,JKLMOP
8,_ _,_ _ _ _ _ _ _,J K L M N O P,JKLMNOP
7,_ _,_ _ _ _ _ _ _,J _ L _ _ O _,JLO
6,_ _,_ _ _ _ _ _ _,_ K _ M N O P,KMNOP
5,_ _,_ _ _ _ _ _ _,J K _ M _ O P,JKMOP
4,_ _,_ _ _ _ _ _ _,_ K L M _ O _,KLMO
3,_ _,_ _ _ _ _ _ _,J _ L M _ O P,JLMOP
2,_ _,_ _ _ _ _ _ _,J _ L M N _ P,JLMNP
1,_ _,_ _ _ _ _ _ _,_ _ L _ _ O _,LO
0,_ _,_ _ _ _ _ _ _,J K L _ N O P,JKLNOP
